Claim_ID,Claim_Amount,Policy_Limit,Claim_Type,Customer_Tenure,Customer_Score,Legal_Cost_Predicted,Litigation_Risk,Churn_Risk,Outcome,Recommended_Action,Actual_Settlement
C100000,20795,30954,Liability,2,0.7,25527,0.25,0.75,Settled,Settle,17157
C100001,5860,99239,Home,5,0.97,15179,0.81,0.03,Settled,Settle,5411
C100002,81820,66514,Liability,3,0.44,20443,0.27,0.56,Won,Settle,76089
C100003,59886,108236,Travel,9,0.23,18524,0.24,0.58,Settled,Settle,42745
C100004,11265,117579,Liability,6,0.7,20173,0.17,0.67,Settled,Settle,10196
C100005,87386,26469,Travel,18,0.82,2016,0.78,0.78,Settled,Settle,61993
C100006,42194,50105,Travel,6,0.55,15374,0.48,0.78,Settled,Settle,33408
C100007,92498,62101,Travel,19,0.97,18848,0.62,0.06,Settled,Mediate,63805
C100008,49131,84323,Travel,12,0.05,22855,0.25,0.66,Settled,Settle,36210
C100009,65263,111922,Travel,11,0.5,20211,0.69,0.52,Lost,Settle,57860
C100010,21023,78067,Home,2,0.72,29604,0.7,0.52,Settled,Settle,14760
C100011,46090,69376,Auto,15,0.86,27095,0.32,0.11,Won,Mediate,25764
C100012,72221,65587,Medical,12,0.18,7956,0.4,0.52,Lost,Settle,61041
C100013,69820,56976,Auto,12,0.8,18473,0.23,0.79,Settled,Settle,61343
C100014,5769,87584,Travel,9,0.55,6815,0.88,0.73,Settled,Settle,5360
C100015,64735,98477,Home,2,0.4,21235,0.6,0.36,Settled,Mediate,48352
C100016,67955,62533,Liability,3,0.13,4843,0.84,0.04,Lost,Settle,58981
C100017,69925,21828,Home,12,0.87,28460,0.31,0.3,Lost,Mediate,44613
C100018,72969,21917,Travel,16,0.16,17972,0.71,0.66,Won,Settle,51101
C100019,10311,40618,Home,1,0.31,27501,0.7,0.56,Settled,Settle,7527
C100020,88104,52254,Home,3,0.29,24927,0.64,0.37,Won,Mediate,60535
C100021,58707,67362,Travel,2,0.87,24285,0.87,0.05,Settled,Settle,51003
C100022,90305,40128,Home,9,0.67,19353,0.38,0.35,Settled,Mediate,58346
C100023,33693,79383,Medical,19,0.8,3094,0.16,0.38,Settled,Litigate,22417
C100024,76932,85545,Medical,15,0.25,8124,0.62,0.74,Settled,Settle,63889
C100025,98016,102180,Home,18,0.62,25731,0.67,0.52,Won,Settle,70428
C100026,30658,107958,Liability,11,0.57,21579,0.54,0.26,Settled,Mediate,17389
C100027,89478,29865,Travel,16,0.83,3404,0.23,0.43,Settled,Litigate,64424
C100028,23431,22219,Medical,17,0.91,29940,0.48,0.06,Settled,Mediate,17660
C100029,7747,59809,Liability,5,0.01,25324,0.32,0.78,Lost,Settle,7155
C100030,64150,25287,Home,12,0.67,22674,0.41,0.29,Won,Mediate,34714
C100031,70725,54387,Liability,11,0.05,5982,0.6,0.39,Settled,Mediate,59874
